SchoolName,Normalized Name,Board District,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,"Is District 1,2,3 or 4"
Adams Elementary School,Adams,4,431,193,3,235,4,12,10,30,1,51,323,24,11,5,46,0,1,7,2,47,Y
Aki Kurose Middle School,Aki Kurose,7,720,349,0,371,3,225,229,126,13,65,59,178,2,41,524,1,0,7,7,124,
Alan T. Sugiyama High School,,7,40,20,0,20,0,6,13,14,2,2,3,7,0,10,37,0,0,1,0,10,
Alki Elementary School,Alki,6,324,157,0,167,0,16,20,31,0,48,209,16,9,2,35,0,6,8,2,43,
Arbor Heights Elementary School,Arbor Heights,6,544,272,0,272,1,29,21,72,2,81,338,33,7,3,92,0,3,0,10,88,
B F Day Elementary School,B.F. Day,2,397,172,1,224,0,27,25,32,0,64,249,34,6,6,62,0,3,10,5,60,Y
Bailey Gatzert Elementary School,Bailey Gatzert,5,314,149,0,165,2,24,186,39,1,31,31,107,2,42,244,0,0,7,0,51,
Ballard High School,Ballard,4,"1,755",825,9,921,4,97,46,143,6,165,"1,294",33,197,15,156,2,6,21,144,208,Y
Beacon Hill International School,Beacon Hill Int'l,7,388,197,0,191,1,102,25,131,1,60,68,138,9,10,205,1,2,4,0,38,
Bridges Transition,BRIDGES Transition,5,174,45,0,129,1,36,27,22,1,13,74,32,0,8,80,0,0,5,0,173,
Broadview-Thomson K-8 School,Broadview-Thomson,1,633,313,4,316,5,57,172,145,1,83,170,136,10,38,383,8,3,7,7,112,Y
Bryant Elementary School,Bryant,3,520,252,0,268,0,62,5,30,0,78,345,23,32,1,23,0,3,15,5,34,Y
Cascade Parent Partnership Program,Cascade Parent Partnership,4,188,78,1,109,0,7,15,16,0,42,108,1,11,2,33,0,3,7,3,35,Y
Cascadia Elementary,Cascadia,2,516,217,0,299,0,93,17,33,0,92,281,5,500,0,35,0,1,9,8,61,Y
Catharine Blaine K-8 School,Blaine,4,533,234,2,297,1,36,6,48,0,60,382,21,12,2,18,0,1,18,14,62,Y
Cedar Park Elementary School,Cedar Park,1,223,120,1,102,1,37,18,13,0,41,113,22,5,3,41,0,0,6,1,14,Y
Chief Sealth International High School,Chief Sealth Int'l,6,"1,136",542,2,592,12,203,234,328,16,93,250,193,15,63,709,4,5,9,25,207,
Cleveland High School STEM,Cleveland STEM,7,921,434,2,485,4,416,219,109,2,78,93,74,14,17,487,0,6,2,33,87,
Concord International School,Concord Int'l,6,329,167,0,162,5,40,28,170,5,32,49,134,0,25,228,0,2,8,1,37,
Daniel Bagley Elementary School,Daniel Bagley,2,369,185,1,183,0,30,10,46,1,53,229,32,5,13,41,2,1,15,7,59,Y
David T. Denny International Middle School,Denny Int'l,6,871,413,0,458,6,107,187,250,14,100,207,159,15,60,555,2,1,1,15,186,
Dearborn Park International School,Dearborn Park Int'l,7,321,159,2,160,3,139,66,42,2,36,33,128,5,4,184,0,0,0,0,31,
Dunlap Elementary School,Dunlap,7,301,150,0,151,0,82,111,64,1,38,5,93,0,36,218,1,1,15,0,32,
Eckstein Middle School,Eckstein,3,"1,117",556,6,555,10,86,65,88,2,168,698,43,53,13,171,4,1,20,58,157,Y
Edmonds S. Meany Middle School,Meany,5,485,221,4,260,2,46,152,52,2,70,161,40,14,59,239,0,1,11,14,93,
Emerson Elementary School,Emerson,7,370,185,1,184,1,55,170,77,3,40,24,157,0,45,267,0,1,8,2,73,
Fairmount Park Elementary School,Fairmount Park,6,478,244,0,234,4,33,44,51,1,86,259,27,75,9,86,0,5,15,7,80,
Franklin High School,Franklin,7,"1,238",655,2,581,6,511,340,186,4,69,122,268,13,55,789,4,3,16,15,147,
Frantz Coe Elementary School,Frantz Coe,4,498,251,0,247,1,40,11,29,2,78,337,23,35,1,28,0,2,14,4,72,Y
Garfield High School,Garfield,5,"1,726",848,8,870,5,249,428,141,7,185,711,109,578,89,577,1,9,32,82,160,
Gatewood Elementary School,Gatewood,6,363,162,2,199,2,15,22,21,1,55,247,24,4,13,54,0,3,1,5,41,
Genesee Hill Elementary,Genesee Hill,6,592,294,1,297,1,15,15,47,0,87,427,19,9,2,46,0,4,6,7,100,
Graham Hill Elementary School,Graham Hill,7,298,123,0,175,0,52,100,61,1,34,50,115,3,6,163,0,3,4,1,43,
Green Lake Elementary School,Green Lake,2,352,193,0,159,0,25,12,26,1,51,237,21,6,0,39,0,1,9,5,45,Y
Greenwood Elementary School,Greenwood,2,324,176,0,148,1,11,16,16,3,46,231,8,8,3,31,0,0,9,9,45,Y
Hamilton International Middle School,Hamilton Int'l,2,"1,038",498,6,534,1,83,30,104,2,161,657,17,334,6,93,0,6,18,50,122,Y
Hawthorne Elementary School,Hawthorne,7,420,207,3,210,2,47,74,63,0,62,172,61,11,13,159,1,0,19,1,39,
Hazel Wolf K-8,Hazel Wolf,1,747,375,3,369,0,77,68,60,4,106,432,77,46,6,140,0,1,4,29,94,Y
Highland Park Elementary School,Highland Park,6,327,152,1,174,1,61,65,93,5,38,64,96,1,27,205,1,3,13,0,43,
Ingraham High School,Ingraham Int'l,1,"1,482",738,6,738,7,147,154,235,5,167,767,141,328,56,427,38,5,31,63,200,Y
Interagency Detention School,Interagency,0,17,0,0,17,0,2,5,6,0,0,4,1,0,1,14,1,0,8,0,6,
Interagency Open Doors,,0,146,75,5,66,3,12,32,31,2,16,49,11,0,25,82,0,2,20,8,30,
Interagency Programs,,0,328,140,4,184,9,18,131,84,6,32,48,34,3,85,253,4,3,33,7,102,
Jane Addams Middle School,Jane Addams,1,"1,005",472,6,527,3,138,93,146,4,129,492,98,345,51,305,1,3,10,32,158,Y
John Hay Elementary School,John Hay,4,383,200,0,183,1,63,19,48,0,62,190,48,5,18,54,1,7,20,1,50,Y
John Muir Elementary School,John Muir,7,369,183,0,186,0,29,207,41,3,31,58,128,5,11,231,0,2,7,1,39,
John Rogers Elementary School,John Rogers,1,289,143,0,146,1,30,61,33,0,41,123,47,6,21,119,1,3,8,0,33,Y
John Stanford International School,John Stanford Int'l,2,461,255,1,205,0,57,7,108,0,88,201,74,28,1,29,0,5,11,3,44,Y
Kimball Elementary School,Kimball,7,426,215,0,211,0,87,111,66,1,51,110,120,8,9,187,4,3,13,2,75,
Lafayette Elementary School,Lafayette,6,429,203,2,224,2,24,29,38,1,87,248,20,7,4,70,0,1,11,0,60,
Laurelhurst Elementary School,Laurelhurst,3,271,132,0,139,4,25,23,26,1,44,148,25,12,9,83,0,1,14,3,37,Y
Lawton Elementary School,Lawton,4,352,172,0,180,0,19,5,31,0,57,240,18,15,2,25,0,5,21,2,54,Y
Leschi Elementary School,Leschi,5,336,157,2,177,1,12,129,41,2,42,109,49,8,36,165,0,2,2,0,37,
Licton Springs K-8,Licton Springs,4,132,71,1,60,9,1,22,27,0,21,52,29,0,10,80,1,1,6,0,30,Y
Lincoln High School,Lincoln,2,979,436,10,533,0,77,33,87,1,111,670,14,327,7,82,1,5,12,52,94,Y
Louisa Boren STEM K-8,Louisa Boren STEM,6,545,235,1,309,0,41,111,86,0,56,251,66,12,12,193,0,0,6,8,97,
Lowell Elementary School,Lowell,5,279,142,1,136,1,48,84,43,2,41,60,63,0,59,193,0,0,14,2,76,
